state,report_for_period_ending,non_exempt_1st_payment,non_exempt_intrastate_matches,non_exempt_interstate_matches,exempt_1st_payment,exempt_intrastate_matches,exempt_interstate_matches,md_fy_num,md_fy_str,reemployment_rate
MO,2023-12-31,11338,6622,472,2236,1762,50,2023,2023-2024,0.625683542070912
MO,2024-03-31,14140,8952,568,7956,7184,53,2023,2023-2024,0.673267326732673
MO,2024-06-30,10814,6376,517,1863,1559,28,2023,2023-2024,0.637414462733494
MS,2019-03-31,5184,3199,404,64,49,11,2018,2018-2019,0.695023148148148
MS,2019-12-31,4363,2357,213,24,19,2,2019,2019-2020,0.589044235617694
MS,2020-03-31,17029,12385,226,51,36,1,2019,2019-2020,0.740560220799812
MS,2020-06-30,184522,137580,3394,779,589,15,2019,2019-2020,0.763995621118349
MS,2020-09-30,37987,24537,1791,117,80,11,2020,2020-2021,0.693079211309132
MS,2020-12-31,9093,4626,370,58,42,3,2020,2020-2021,0.549433630265039
MS,2021-03-31,12669,8239,398,56,39,2,2020,2020-2021,0.681742836845844
MS,2021-06-30,17800,12193,748,100,75,6,2020,2020-2021,0.727022471910112
MS,2021-09-30,6413,4690,274,56,41,5,2021,2021-2022,0.774052705442071
MS,2021-12-31,2988,1849,147,17,13,2,2021,2021-2022,0.668005354752343
MS,2022-03-31,3142,2068,170,14,11,1,2021,2021-2022,0.712285168682368
MS,2022-06-30,4579,3211,235,32,19,4,2021,2021-2022,0.752566062459052
MS,2022-09-30,5215,3849,221,52,38,2,2022,2022-2023,0.780441035474593
MS,2022-12-31,4000,2396,203,31,23,3,2022,2022-2023,0.64975
MS,2023-03-31,4037,2577,224,19,18,1,2022,2022-2023,0.693832053505078
MS,2023-06-30,5224,3471,257,23,16,2,2022,2022-2023,0.713629402756508
MS,2023-09-30,5004,3386,197,26,21,0,2023,2023-2024,0.716027178257394
MS,2024-03-31,4317,2650,211,11,9,0,2023,2023-2024,0.662728746814918
MS,2024-06-30,4981,3281,187,17,13,0,2023,2023-2024,0.696245733788396
ND,2019-03-31,1063,604,159,4887,4374,249,2018,2018-2019,0.717779868297272
ND,2019-06-30,894,468,126,1237,991,92,2018,2018-2019,0.664429530201342
ND,2019-09-30,935,475,131,1293,1075,90,2019,2019-2020,0.648128342245989
ND,2019-12-31,1082,447,192,3505,1881,288,2019,2019-2020,0.590573012939002
ND,2020-03-31,1077,334,162,7868,6046,454,2019,2019-2020,0.460538532961931
ND,2020-06-30,0,0,0,53178,37400,2548,2019,2019-2020,
ND,2020-09-30,1355,609,118,4700,3080,279,2020,2020-2021,0.536531365313653
ND,2020-12-31,2172,1112,173,4919,2975,219,2020,2020-2021,0.591620626151013
ND,2021-03-31,1892,855,182,5514,4618,300,2020,2020-2021,0.548097251585624
ND,2021-06-30,1524,813,172,2082,1718,127,2020,2020-2021,0.646325459317585
ND,2021-09-30,823,468,93,1088,946,47,2021,2021-2022,0.681652490886999
ND,2021-12-31,582,310,68,2416,1401,133,2021,2021-2022,0.649484536082474
ND,2022-03-31,613,340,70,4495,4012,234,2021,2021-2022,0.66884176182708
ND,2022-06-30,501,271,71,928,777,68,2021,2021-2022,0.682634730538922
ND,2022-09-30,445,274,48,732,613,53,2022,2022-2023,0.723595505617977
ND,2022-12-31,600,325,60,2328,1315,142,2022,2022-2023,0.641666666666667
ND,2023-03-31,773,425,103,3834,3443,162,2022,2022-2023,0.683053040103493
ND,2023-06-30,678,376,78,876,725,52,2022,2022-2023,0.669616519174041
ND,2023-09-30,699,382,73,739,610,46,2023,2023-2024,0.650929899856939
ND,2023-12-31,775,404,66,2237,1257,136,2023,2023-2024,0.606451612903226
ND,2024-03-31,857,453,90,4189,3757,165,2023,2023-2024,0.633605600933489
ND,2024-06-30,825,450,82,1249,822,85,2023,2023-2024,0.644848484848485
NH,2019-03-31,3259,2223,325,572,370,155,2018,2018-2019,0.781834918686714
NH,2019-06-30,1941,1140,261,429,323,55,2018,2018-2019,0.721792890262751
